subject,lineup_id,order,a,b,n,x_dist,rep
5,238,4,-1,0.25,300,normal,2
6,203,19,1,4,100,normal,2
7,576,20,0,4,300,uniform,1
8,229,11,-1,64,50,uniform,3
9,120,11,0,4,50,uniform,1
10,82,15,-1,0.25,300,normal,1
11,205,15,0,4,300,even_discrete,3
12,527,10,0,4,100,uniform,3
13,539,6,1,16,300,normal,2
14,233,18,0,1,300,even_discrete,2
15,401,1,1,64,300,normal,3
16,275,16,1,0.25,100,uniform,2
17,132,14,-1,4,50,even_discrete,1
18,540,12,1,64,100,uniform,2
19,507,18,1,1,100,even_discrete,3
20,333,7,0,16,100,uniform,1
21,260,12,1,64,50,normal,2
22,110,1,1,4,50,uniform,1
23,247,15,0,0,50,even_discrete,1
24,398,10,0,0.25,100,normal,2
25,312,17,0,4,100,normal,1
26,411,3,-1,0.25,300,lognormal,1
27,180,6,-1,1,100,uniform,3
28,288,7,-1,16,100,uniform,2
29,569,5,-1,4,100,lognormal,1
30,99,19,-1,1,300,uniform,3
31,359,12,0,0,300,even_discrete,1
32,49,20,-1,1,100,even_discrete,3
33,395,8,0,1,50,normal,3
34,416,20,0,16,100,even_discrete,2
35,162,5,1,0.25,300,lognormal,3
36,44,19,1,16,300,even_discrete,1
37,332,5,1,16,50,normal,3
38,342,4,-1,4,50,lognormal,2
39,473,12,-1,4,100,even_discrete,3
40,64,18,0,64,300,normal,2
41,488,6,0,4,100,normal,2
42,552,11,1,0.25,100,uniform,1
43,443,10,0,64,50,lognormal,3
44,237,6,0,0,100,lognormal,2
45,513,19,-1,16,50,even_discrete,2
46,573,11,0,1,50,uniform,2
47,7,14,1,64,50,even_discrete,2
48,251,3,1,0.25,50,uniform,1
49,145,13,0,4,300,even_discrete,2
50,4,19,-1,4,50,uniform,3
51,204,12,0,0.25,100,even_discrete,1
52,139,12,0,1,100,normal,1
53,41,2,-1,4,50,uniform,2
54,415,15,-1,0.25,300,lognormal,2
55,153,16,1,64,100,normal,1
56,41,11,-1,4,50,uniform,2
57,480,1,0,4,300,lognormal,1
58,225,19,-1,0.25,300,even_discrete,1
59,358,14,1,1,300,normal,2
60,5,8,-1,1,50,uniform,2
61,39,10,1,1,50,lognormal,2
62,120,17,0,4,50,uniform,1
63,140,20,-1,64,300,even_discrete,2
64,173,17,1,16,100,lognormal,3
65,122,2,1,64,50,even_discrete,1
66,438,8,1,4,100,even_discrete,1
67,150,5,1,0.25,300,uniform,2
68,68,9,1,1,100,normal,3
69,134,11,-1,64,300,lognormal,2
70,555,5,0,64,50,lognormal,1
71,44,11,1,16,300,even_discrete,1
72,276,5,0,4,50,lognormal,2
73,532,5,1,16,300,lognormal,2
74,368,20,0,0.25,300,uniform,1
75,203,12,1,4,100,normal,2
76,172,9,0,0,100,uniform,3
77,465,18,0,1,50,even_discrete,3
