page,response_time,set,num,selection,num_selection,reason,confidence,prolific_id,age_group,education,pronoun,previous_experience,lineup_id,type,formula,a,b,x_dist,e_dist,e_sigma,name,k,n,effect_size,answer,detect,conventional_p_value,p_value,weigthed_detect,prop_detect
15,10971.300000011921,3,11,0,0,NA,NA,602cf366166df76360257563,18-24,High School or below,He,Yes,201,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,16,normal,normal,1,heter_201,20,300,269.93289938004864,3,FALSE,1.4927467069512251e-9,0.09526000000000001,0,0.5
16,9428.5,3,12,3,1,Shape,Moderately,602cf366166df76360257563,18-24,High School or below,He,Yes,583,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,256,uniform,normal,1,heter_583,20,300,516.1718186809517,3,TRUE,1.1328727272885226e-13,0,1,0.875
17,16360.800000011921,3,13,7,1,Outlier(s),Slightly,602cf366166df76360257563,18-24,High School or below,He,Yes,296,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,16,uniform,normal,1,heter_296,20,50,51.02317943354042,7,TRUE,0.04936958216585853,0.14122,1,0.3333333333333333
18,16267.800000011921,3,14,1_2_4_5,4,Outlier(s),Slightly,602cf366166df76360257563,18-24,High School or below,He,Yes,443,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,64,lognormal,normal,1,heter_443,20,50,61.713566154608905,2,TRUE,0.009932379053697956,0.04400000000000004,0.25,0.3125
19,13998.899999976158,3,15,0,0,NA,NA,602cf366166df76360257563,18-24,High School or below,He,Yes,243,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,64,even_discrete,normal,1,heter_243,20,50,67.27852089792268,15,FALSE,0.04521835375546573,0.14122,0,0.3333333333333333
20,13528.299999952316,3,16,19_17_2,3,Outlier(s),Slightly,602cf366166df76360257563,18-24,High School or below,He,Yes,366,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0,normal,normal,1,heter_366,20,100,0,10,FALSE,0.5167020179722029,1,0,0
21,18014.900000035763,3,17,1,1,Outlier(s),Slightly,602cf366166df76360257563,18-24,High School or below,He,Yes,18,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,4,lognormal,normal,1,heter_18,20,100,7.703433448631575,1,TRUE,0.010344604916871725,0.09526000000000001,1,0.5
22,19534.30000001192,3,18,0,0,NA,NA,602cf366166df76360257563,18-24,High School or below,He,Yes,286,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0.25,normal,normal,1,heter_286,20,50,0.16081734700844663,18,FALSE,5.66458818971818e-4,1,0,0
23,22817.5,3,19,2_4_11_6,4,Outlier(s),Moderately,602cf366166df76360257563,18-24,High School or below,He,Yes,277,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,16,even_discrete,normal,1,heter_277,20,100,84.19349659452018,2,TRUE,2.338298833831286e-4,0.0262,0.25,0.375
24,5689.199999988079,3,20,0,0,NA,NA,602cf366166df76360257563,18-24,High School or below,He,Yes,205,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,4,even_discrete,normal,1,heter_205,20,300,109.01480177015657,3,FALSE,1.287485684556816e-10,0.18291999999999997,0,0.3333333333333333
