subject,lineup_id,order,shape,n,x_dist,e_sigma,rep
81,354,11,3,300,uniform,4,3
82,415,17,2,300,lognormal,2,2
83,538,19,2,300,even_discrete,2,1
84,321,17,1,100,uniform,2,3
85,52,19,4,100,uniform,0.5,1
86,134,17,2,300,even_discrete,2,2
87,253,10,2,50,uniform,4,2
88,133,16,1,50,lognormal,4,3
89,550,2,3,50,normal,4,2
90,65,7,3,100,lognormal,1,2
91,21,5,3,50,even_discrete,1,3
92,485,14,2,100,even_discrete,0.5,3
93,468,7,4,100,normal,2,3
94,7,14,4,50,normal,4,2
95,219,16,4,300,lognormal,1,2
96,174,9,1,300,even_discrete,2,1
97,8,19,2,50,lognormal,4,2
98,319,16,4,300,normal,1,2
99,346,15,4,50,normal,2,1
100,343,2,3,300,uniform,0.5,2
101,81,20,4,50,even_discrete,1,3
102,399,6,4,100,lognormal,0.5,1
103,375,13,1,50,even_discrete,0.5,1
104,289,13,2,300,even_discrete,1,3
105,250,14,3,100,even_discrete,2,1
106,361,12,2,100,uniform,4,2
107,481,2,1,50,normal,4,1
108,301,18,3,100,uniform,4,1
109,415,2,2,300,lognormal,2,2
110,212,14,2,300,even_discrete,2,3
111,483,12,1,50,uniform,2,3
112,562,9,1,100,uniform,1,3
113,88,15,3,100,uniform,2,3
114,504,18,3,100,lognormal,4,2
115,440,17,4,300,even_discrete,2,1
116,374,7,4,300,even_discrete,1,2
117,137,7,2,50,lognormal,0.5,1
118,252,15,2,100,lognormal,0.5,1
119,415,7,2,300,lognormal,2,2
120,160,12,3,300,even_discrete,1,1
121,421,8,2,50,uniform,0.5,2
122,421,18,2,50,uniform,0.5,2
123,6,14,1,100,uniform,1,1
124,112,8,4,50,even_discrete,1,2
125,131,6,3,300,uniform,2,3
126,523,3,2,300,even_discrete,0.5,1
127,509,19,2,300,uniform,4,1
128,261,15,4,100,normal,4,3
129,214,8,4,50,lognormal,1,3
130,365,9,4,300,uniform,0.5,2
131,397,16,4,50,normal,0.5,2
132,531,14,1,100,lognormal,1,2
133,67,16,3,300,normal,0.5,3
134,183,4,1,50,uniform,2,2
135,573,4,2,100,uniform,0.5,2
136,460,3,3,300,even_discrete,4,3
137,478,10,1,100,normal,4,2
138,309,1,3,300,uniform,4,1
139,564,13,4,50,normal,0.5,1
140,345,8,2,300,normal,0.5,2
141,155,3,2,100,lognormal,0.5,2
142,275,8,4,100,normal,0.5,2
143,112,18,4,50,even_discrete,1,2
144,226,11,4,300,normal,0.5,3
145,134,14,2,300,even_discrete,2,2
146,26,20,1,50,even_discrete,2,1
147,409,14,3,100,lognormal,1,1
148,406,3,2,300,normal,4,3
149,321,14,1,100,uniform,2,3
150,420,20,2,50,normal,2,3
151,277,18,4,50,lognormal,4,3
152,198,1,4,50,uniform,4,1
153,325,4,2,100,normal,1,3
154,305,10,3,300,even_discrete,0.5,3
155,262,10,1,300,lognormal,2,3
156,177,14,2,100,even_discrete,4,1
157,296,18,1,50,normal,0.5,2
158,497,19,1,50,even_discrete,4,3
159,424,15,3,300,even_discrete,4,1
160,562,20,1,100,uniform,1,3
1,304,14,4,300,lognormal,4,3
2,286,18,3,50,uniform,1,1
3,317,20,2,50,even_discrete,0.5,2
4,341,9,1,300,uniform,2,3
5,558,6,1,300,even_discrete,1,1
6,275,13,4,100,normal,0.5,2
7,213,11,2,300,normal,2,2
8,310,3,3,100,even_discrete,4,3
9,315,9,1,50,normal,1,1
10,482,9,4,100,lognormal,2,2
11,403,13,3,100,lognormal,1,3
12,476,7,3,50,even_discrete,2,3
13,457,3,1,100,lognormal,0.5,3
14,208,13,4,100,even_discrete,2,3
15,262,14,1,300,lognormal,2,3
16,301,19,3,100,uniform,4,1
17,24,15,3,300,uniform,1,2
18,271,2,3,50,even_discrete,4,3
19,31,2,3,100,even_discrete,2,2
20,228,17,4,300,even_discrete,4,2
21,288,8,3,50,lognormal,0.5,2
22,1,14,2,300,lognormal,4,3
23,46,13,2,100,even_discrete,4,3
24,307,5,4,50,normal,2,2
25,267,7,4,300,normal,4,2
26,563,9,4,100,normal,4,2
27,531,2,1,100,lognormal,1,2
28,155,3,2,100,lognormal,0.5,2
29,219,4,4,300,lognormal,1,2
30,554,14,1,50,even_discrete,2,2
31,161,1,4,100,uniform,4,3
32,456,12,1,100,even_discrete,1,1
33,102,16,2,100,even_discrete,1,3
34,512,19,4,50,uniform,0.5,3
35,179,14,2,300,lognormal,0.5,1
36,332,16,1,50,normal,1,3
37,265,12,1,100,normal,0.5,2
38,561,20,1,100,lognormal,0.5,1
39,534,18,3,300,lognormal,1,2
40,445,9,4,50,normal,0.5,3
41,475,11,2,100,even_discrete,2,2
42,288,1,3,50,lognormal,0.5,2
43,213,20,2,300,normal,2,2
44,380,10,1,300,normal,1,2
45,155,17,2,100,lognormal,0.5,2
46,457,10,1,100,lognormal,0.5,3
47,474,5,1,50,uniform,1,3
48,260,11,4,50,normal,1,2
49,374,6,4,300,even_discrete,1,2
50,365,2,4,300,uniform,0.5,2
51,534,16,3,300,lognormal,1,2
52,553,16,4,100,even_discrete,0.5,2
53,565,4,2,50,uniform,1,3
54,188,20,1,100,even_discrete,2,3
55,232,18,4,50,uniform,0.5,2
56,507,15,3,300,normal,4,3
57,276,20,1,300,uniform,2,2
58,89,1,2,100,normal,4,2
59,104,7,4,100,lognormal,2,3
60,12,4,2,100,even_discrete,2,3
61,74,15,1,50,even_discrete,0.5,2
62,79,3,1,100,even_discrete,4,1
63,229,16,2,50,normal,0.5,3
64,522,4,2,300,even_discrete,1,2
65,209,13,1,300,lognormal,1,1
66,293,11,3,300,normal,1,1
67,7,16,4,50,normal,4,2
68,15,2,2,300,uniform,2,2
69,514,8,3,100,normal,2,1
70,446,6,4,50,even_discrete,4,3
71,545,3,2,300,normal,0.5,3
72,230,7,1,100,uniform,4,1
73,333,11,4,50,lognormal,0.5,1
74,337,11,2,50,normal,2,2
75,95,18,4,50,lognormal,1,2
76,518,12,3,50,uniform,4,1
77,189,13,3,300,lognormal,0.5,3
78,128,8,1,300,lognormal,0.5,3
79,308,12,4,300,lognormal,1,1
80,362,16,4,50,lognormal,2,2
81,514,9,3,100,normal,2,1
82,297,11,3,100,normal,2,3
83,544,6,2,100,uniform,0.5,1
84,407,7,3,300,lognormal,2,3
85,258,13,4,300,lognormal,4,1
86,412,2,3,50,uniform,2,1
87,131,7,3,300,uniform,2,3
88,202,12,4,300,uniform,4,3
