page,response_time,set,num,selection,num_selection,reason,confidence,prolific_id,age_group,education,pronoun,previous_experience,lineup_id,type,formula,a,b,c,x_dist,z_discrete,e_dist,e_sigma,x_mu,x_n,x_sigma,z_discrete_dist,z_n,e_df,name,k,n,effect_size,answer,detect,conventional_p_value,ori_difficulty,exp,exp_lineup_id
6,19730.299999999814,3,2,16,1,Shape,Very,5ccecfd9d3f12600187dff6e,18-24,Diploma and Bachelor Degree,He,Yes,586,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,30.55977936834097,NA,uniform,FALSE,NA,NA,0,12,0.6,NA,NA,NA,heter_extremely_easy_5,20,300,529.310905340617,16,TRUE,1.4341401634187619e-11,extremely_easy,1,1_586
7,47117.39999999991,3,3,15,1,Shape,Slightly,5ccecfd9d3f12600187dff6e,18-24,Diploma and Bachelor Degree,He,Yes,444,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,0.9992757886648178,NA,discrete_uniform,FALSE,NA,NA,0,20,0.6,NA,NA,NA,heter_hard_62,20,50,7.065946864404281,2,FALSE,0.2073725164426113,hard,1,1_444
8,58229.299999999814,3,4,19,1,Cluster(s),Moderately,5ccecfd9d3f12600187dff6e,18-24,Diploma and Bachelor Degree,He,Yes,354,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,7.965995855629444,NA,discrete_uniform,FALSE,NA,NA,0,12,0.6,NA,NA,NA,heter_medium_32,20,300,137.9750955483331,19,TRUE,1.801915921806171e-10,medium,1,1_354
9,44413.09999999963,3,5,10_7_15_5,4,Outlier(s),Moderately,5ccecfd9d3f12600187dff6e,18-24,Diploma and Bachelor Degree,He,Yes,365,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,20.89813671261072,NA,uniform,FALSE,NA,NA,0,18,0.6,NA,NA,NA,heter_medium_43,20,50,147.77214183650585,15,TRUE,0.05475946856275384,medium,1,1_365
10,54320.799999999814,3,6,0,0,NA,NA,5ccecfd9d3f12600187dff6e,18-24,Diploma and Bachelor Degree,He,Yes,503,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,0.2129567489027977,NA,normal,FALSE,NA,NA,0,12,0.3,NA,NA,NA,heter_hard_121,20,100,2.129567489027977,13,FALSE,0.25993964945292647,hard,1,1_503
11,39685.89999999991,3,7,9,1,Outlier(s),Slightly,5ccecfd9d3f12600187dff6e,18-24,Diploma and Bachelor Degree,He,Yes,515,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",1,0.5485367625951767,NA,lognormal,FALSE,NA,NA,0,11,0.6,NA,NA,NA,heter_hard_133,20,50,3.8787406456116478,3,FALSE,0.12766779770346648,hard,1,1_515
12,24151.5,3,8,14,1,Shape,Extremely,5ccecfd9d3f12600187dff6e,18-24,Diploma and Bachelor Degree,He,Yes,33,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-1.3884764020331204,-0.3070258009247482,1.5513399709016085,normal,FALSE,normal,0.25,0,NA,0.3,discrete_uniform,6,NA,high_easy_33,20,300,37.8988285875447,14,TRUE,5.665988113005226e-181,easy,1,1_33
13,35512.90000000037,3,9,0,0,NA,NA,5ccecfd9d3f12600187dff6e,18-24,Diploma and Bachelor Degree,He,Yes,231,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-0.12296286877244711,-0.005702247843146324,0.2807819005101919,normal,FALSE,normal,0.5,0,NA,0.3,discrete_uniform,3,NA,high_hard_137,20,300,0.033914241533962115,8,FALSE,0.09865532413525557,hard,1,1_231
14,28031,3,10,2,1,Shape,Slightly,5ccecfd9d3f12600187dff6e,18-24,Diploma and Bachelor Degree,He,Yes,312,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,26.431528113782406,NA,lognormal,FALSE,NA,NA,0,17,0.6,NA,NA,NA,heter_easy_24,20,300,457.80749614756303,2,TRUE,9.528148518326055e-7,easy,1,1_312
15,44811.10000000009,3,11,19,1,Cluster(s),Slightly,5ccecfd9d3f12600187dff6e,18-24,Diploma and Bachelor Degree,He,Yes,459,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,0.91227225959301,NA,normal,FALSE,NA,NA,0,11,0.3,NA,NA,NA,heter_hard_77,20,50,6.4507390104659175,3,FALSE,0.11671926069663359,hard,1,1_459
16,23988.100000000093,3,12,8,1,Cluster(s),Slightly,5ccecfd9d3f12600187dff6e,18-24,Diploma and Bachelor Degree,He,Yes,475,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,0.7854282334446907,NA,neglognormal,FALSE,NA,NA,0,14,0.6,NA,NA,NA,heter_hard_93,20,50,5.553816300041115,16,FALSE,0.23896256213848496,hard,1,1_475
