type,formula,a,b,c,x_dist,z_discrete,e_dist,e_sigma,x_mu,x_n,x_sigma,z_discrete_dist,z_n,e_df,name,k,n,effect_size,answer,conventional_p_value,ori_difficulty,exp,exp_lineup_id,log_effect_size
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-1.183480263222009,0.35413850750774145,1.469183729030192,uniform,FALSE,normal,2,0,NA,0.6,discrete_uniform,9,NA,high_hard_165,20,100,0.3433358689523378,3,0.011298357008344757,hard,1,1_259,-1.0690461011557653
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",1,6.065102249383926,NA,lognormal,FALSE,NA,NA,0,20,0.6,NA,NA,NA,heter_medium_54,20,100,60.651022493839264,10,0.008392379214318306,medium,1,1_376,4.105136494173576
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",1,20.732488319277763,NA,discrete_uniform,FALSE,NA,NA,0,18,0.6,NA,NA,NA,heter_easy_34,20,300,359.0972313631737,5,4.840573617781566e-11,easy,1,1_322,5.883593191269633
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,0.08290834724903107,NA,lognormal,FALSE,NA,NA,0,10,0.6,NA,NA,NA,heter_hard_103,20,100,0.8290834724903107,15,0.7223199553872292,hard,1,1_485,-0.1874344383364126
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.8025770229287446,-1.115665951743722,1.096056345384568,uniform,TRUE,normal,2,0,NA,0.6,discrete_uniform,7,NA,high_hard_186,20,50,0.06983927932536577,8,0.0581220773117197,hard,1,1_280,-2.661558686442093
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,13.929849825799465,NA,uniform,FALSE,NA,NA,0,17,0.6,NA,NA,NA,heter_medium_47,20,50,98.4989127273305,17,3.014423671986944e-4,medium,1,1_369,4.590045509815908
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,0.93282850086689,NA,neglognormal,FALSE,NA,NA,0,19,0.6,NA,NA,NA,heter_hard_112,20,50,6.596093586470591,12,0.35422680115735516,hard,1,1_494,1.8864775929639803
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-2.394611462485045,-0.0636036554351449,1.971085992641747,uniform,FALSE,normal,1,0,NA,0.6,discrete_uniform,10,NA,high_medium_31,20,300,17.998018715202207,5,2.956345076494124e-136,medium,1,1_65,2.890261680460211
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-0.8384235268458724,0.7369152079336345,0.026474216021597385,uniform,FALSE,normal,2,0,NA,0.6,discrete_uniform,3,NA,high_hard_65,20,300,2.1162305278739613,16,1.0713174843739553e-30,hard,1,1_159,0.7496364531819838
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,0.36703597754240036,NA,uniform,FALSE,NA,NA,0,18,0.6,NA,NA,NA,heter_hard_59,20,300,6.3572496130914695,2,1.1418930808108802e-5,hard,1,1_441,1.8495958330464475
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,17.298657029867172,NA,normal,FALSE,NA,NA,0,19,0.3,NA,NA,NA,heter_medium_9,20,50,122.3199769123942,18,2.029794831923377e-7,medium,1,1_331,4.806640372873194
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.48608936509117484,1.025694786105305,0.2583667477592826,uniform,TRUE,normal,2,0,NA,0.6,discrete_uniform,7,NA,high_hard_47,20,300,1.0783794776547266,3,4.165284835890809e-9,hard,1,1_141,0.07545943063014357
