a,b,c,x_dist,x_mu,x_n,x_sigma,z_discrete,z_discrete_dist,z_n,e_dist,e_df,e_sigma,n,model,statistics,pvalue,effect_size,answer
1,30.485425107181072,NA,lognormal,0,14,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,4.134948935077396,0.1265048707581663,304.8542510718107,FALSE
0,7.819821357727051,NA,uniform,0,18,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,3.8410608461482476,0.14652921903499755,55.29448709716193,FALSE
0,3.7427771165966988,NA,uniform,0,14,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,32.17030429161477,1.033492150608934e-7,64.82680127351627,TRUE
0,5.36414086073637,NA,neglognormal,0,12,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,22.440963975771734,1.339697010842668e-5,92.90964509751643,TRUE
0,22.01128337532282,NA,uniform,0,18,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,6.354975332506356,0.041690263516496226,155.64327737309483,TRUE
-1,6.741075448691845,NA,uniform,0,16,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,55.03426008079306,1.1206300542035728e-12,116.75885174789443,TRUE
0,22.03081188350916,NA,discrete_uniform,0,20,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,8.654499950959353,0.0132038084049001,155.78136477874503,FALSE
1,20.724073089659214,NA,normal,0,18,0.3,FALSE,NA,NA,NA,NA,NA,50,heter,15.162113515387801,5.100219684946591e-4,146.54132615503676,TRUE
1,25.55907892435789,NA,uniform,0,20,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,12.80533533230149,0.0016571307000135763,180.72998028295635,TRUE
0,14.459269978106022,NA,uniform,0,16,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,5.878017270141671,0.0529181639546991,102.2424785252583,TRUE
0,16.360120952129364,NA,normal,0,12,0.3,FALSE,NA,NA,NA,NA,NA,100,heter,36.36740174977422,1.2674156032576675e-8,163.60120952129364,TRUE
0,17.61748269200325,NA,uniform,0,18,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,59.39418945430023,1.2668221008997635e-13,305.1437512401495,TRUE
0,14.991893209517002,NA,normal,0,14,0.3,FALSE,NA,NA,NA,NA,NA,50,heter,9.253728842978006,0.009785393919201128,106.00869351274027,TRUE
0,19.948777981102467,NA,normal,0,18,0.3,FALSE,NA,NA,NA,NA,NA,50,heter,3.0082736232234772,0.22220901931768042,141.0591618682244,TRUE
-1,12.821696400642395,NA,discrete_uniform,0,14,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,8.399540190481067,0.01499902477129464,128.21696400642395,FALSE
0,0.31285974383354187,NA,neglognormal,0,10,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,2.8306234495740092,0.24284989931523138,2.2122524642498362,FALSE
-1,23.706173941493034,NA,lognormal,0,18,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,2.175643649046865,0.33694963038845266,167.6279635001755,FALSE
1,8.645341321825981,NA,normal,0,20,0.3,FALSE,NA,NA,NA,NA,NA,50,heter,7.289237850273056,0.026131365963503073,61.13179474335422,FALSE
0,21.145162470638752,NA,lognormal,0,18,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,10.015471439177151,0.0066860252155988955,149.51887772279954,TRUE
0,2.0592522621154785,NA,normal,0,18,0.3,FALSE,NA,NA,NA,NA,NA,50,heter,5.026770240248208,0.0809936015917602,14.561112387155926,FALSE
-1,3.608602963387966,NA,neglognormal,0,20,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,2.4587444801519327,0.29247612485297164,25.516676260215018,FALSE
1,7.38102351129055,NA,lognormal,0,10,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,1.410540522220423,0.4939750539677816,52.1917177693089,FALSE
-1,16.397059813141823,NA,neglognormal,0,18,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,11.027874017523576,0.0040302091393014,284.00540691107483,TRUE
0,29.659952253103256,NA,uniform,0,15,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,62.931356083426,2.1608750603809513e-14,513.7254425244184,TRUE
0,26.81960204988718,NA,lognormal,0,12,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,9.287667294810763,0.009620744298361386,189.64322478199855,TRUE
0,0.3449529856443405,NA,uniform,0,15,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,6.6774685791211255,0.03548183904631763,5.974760973585754,FALSE
1,1.784773737192154,NA,uniform,0,14,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,25.502687556472452,2.8984229528952976e-6,17.84773737192154,TRUE
0,5.68388132750988,NA,lognormal,0,19,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,8.830718019192782,0.012090212843410376,56.8388132750988,TRUE
